#离子类型提取自MS-Dial，Mona MS等公开库，以及老版本的自建库
#后续将继续在无法识别的precursor中继续丰富precursor type
#判断两个加合离子峰是否相同的依据
#       type的分子式一致和电荷一致，注意M的系数也应该一致
#       在人工识别重复时，可先根据offset是否一致判断
ionmode,type,offset,n,charge,comment
Negative,[M-CHO]-,-29.00274,1,1,
Positive,[M-C2H3O2+Cl]+,-24.04445,1,1,
Negative,[M-Na]-,-22.98977,1,1,
Positive,[M-HO3P+CH3COO]+,-20.95303,1,1,
Positive,[M-C2H4NO+K]+,-19.06558,1,1,
Negative,[M-H20-H]-,-19.01839,1,1,
Negative,[M-H-H2O]-,-19.01839,1,1,
Negative,[M-H-NH3]-,-18.03437,1,1,
Negative,[M-H2O]-,-18.01056,1,1,
Positive,[M-H2O]+,-18.01056,1,1,
Positive,[M-2H2O+NH4]+,-17.98676,1,1,
Positive,[M-H3N]+,-17.02655,1,1,
Positive,[2M-H2O+H]+,-17.00274,2,1,
Negative,[M-OH]-,-17.00274,1,1,
Positive,[M-OH]+,-17.00274,1,1,
Negative,[M-CH4]-,-16.0313,1,1,
Positive,[M-CH4]+,-16.0313,1,1,
Positive,[M-NH2]+,-16.01872,1,1,
Negative,[M-NH2]-,-16.01872,1,1,
Positive,[M-HO+H]+,-15.99491,1,1,
Negative,[M-CH3]-,-15.02348,1,1,
Positive,[M-CH3]+,-15.02348,1,1,
Positive,[M-C3H7O+HCOO]+,-14.05204,1,1,
Positive,[M-CH3+H]+,-14.01565,1,1,
Positive,[M-CH3S+Cl]+,-12.0267,1,1,
Positive,[M-CHO2+K]+,-6.03394,1,1,
Negative,[M-3H]3-,-3.02348,1,3,
Negative,[M-2H]-,-2.01565,1,1,
Negative,[M-2H]2-,-2.01565,1,2,
Negative,[2M-H]-,-1.00783,2,1,
Negative,[3M-H]-,-1.00783,3,1,
Negative,[M-H]-,-1.00783,1,1,
Negative,[M-H]2-,-1.00783,1,2,
Positive,[M-CH3N2O+CH3COO]+,-0.01124,1,1,
Negative,[M]-,0,1,1,
Positive,[M]+,0,1,1,
Positive,[M]2+,0,1,2,
Positive,[2M+H]+,1.00783,2,1,
Positive,[M+H]+,1.00783,1,1,
Positive,[M+H]2+,1.00783,1,2,
Positive,[M+2H]+,2.01565,1,1,
Positive,[M+2H]2+,2.01565,1,2,
Positive,[M-CH3+NH4]+,3.01089,1,1,
Positive,[M+3H]3+,3.02348,1,3,
Positive,[M-HO+Na]+,5.98703,1,1,
Positive,[M-H+Li]+,6.00817,1,1,
Positive,[M+Li]+,7.016,1,1,
Positive,[M-CH3O+K]+,7.94532,1,1,
Positive,[M-CH3+Na]+,7.96629,1,1,
Positive,[M-CH3O+HCOO]+,13.97926,1,1,
Positive,[M+CH3]+,15.02348,1,1,
Positive,[M+HO]+,17.00274,1,1,
Negative,[M+HO]-,17.00274,1,1,
Positive,[2M+NH4]+,18.03437,2,1,
Positive,[3M+NH4]+,18.03437,3,1,
Positive,[M+NH4]+,18.03437,1,1,
Positive,[M-H2N+Cl]+,18.95013,1,1,
Positive,[M+H2O+H]+,19.01839,1,1,
Positive,[M+H+NH4]2+,19.0422,1,2,
Negative,[2M-2H+Na]-,20.97412,2,1,
Negative,[M+Na-2H]-,20.97412,1,1,
Positive,[M-HO+K]+,21.96097,1,1,
Positive,[M-H+Na]+,21.98194,1,1,
Positive,[2M+Na]+,22.98977,2,1,
Positive,[M+Na]+,22.98977,1,1,
Positive,[M+H+Na]+,23.99759,1,1,本身是负离子
Positive,[M+H+Na]2+,23.99759,1,2,
Positive,[M+2H+Na]3+,25.00542,1,3,
Positive,[M-HO+HCOO]+,27.99491,1,1,
